,Person
282,CRUZ:
283,ZUCKERBERG:
284,CRUZ:
285,ZUCKERBERG:
286,CRUZ:
287,ZUCKERBERG:
288,CRUZ:
289,ZUCKERBERG:
290,CRUZ:
291,ZUCKERBERG:
292,CRUZ:
293,ZUCKERBERG:
294,CRUZ:
295,ZUCKERBERG:
296,CRUZ:
297,ZUCKERBERG:
298,CRUZ:
299,ZUCKERBERG:
300,CRUZ:
301,ZUCKERBERG:
302,CRUZ:
303,ZUCKERBERG:
304,CRUZ:
305,ZUCKERBERG:
306,CRUZ:
307,ZUCKERBERG:
308,CRUZ:
309,ZUCKERBERG:
310,CRUZ:
311,ZUCKERBERG:
312,CRUZ:
313,ZUCKERBERG:
314,CRUZ:
315,THUNE:
316,ZUCKERBERG:
317,THUNE:
318,ZUCKERBERG:
319,THUNE:
320,ZUCKERBERG:
321,THUNE:
322,GRASSLEY:
323,GRASSLEY:
324,ZUCKERBERG:
325,GRASSLEY:
326,WHITEHOUSE:
327,ZUCKERBERG:
328,WHITEHOUSE:
329,ZUCKERBERG:
330,WHITEHOUSE:
331,ZUCKERBERG:
332,WHITEHOUSE:
333,ZUCKERBERG:
334,WHITEHOUSE:
335,ZUCKERBERG:
336,WHITEHOUSE:
337,ZUCKERBERG:
338,WHITEHOUSE:
339,ZUCKERBERG:
340,WHITEHOUSE:
341,ZUCKERBERG:
342,WHITEHOUSE:
343,ZUCKERBERG:
344,WHITEHOUSE:
345,ZUCKERBERG:
346,WHITEHOUSE:
347,ZUCKERBERG:
348,WHITEHOUSE:
349,ZUCKERBERG:
350,WHITEHOUSE:
351,GRASSLEY:
352,ZUCKERBERG:
353,LEE:
354,ZUCKERBERG:
355,LEE:
356,ZUCKERBERG:
357,LEE:
358,ZUCKERBERG:
359,LEE:
360,ZUCKERBERG:
361,LEE:
362,ZUCKERBERG:
363,LEE:
364,ZUCKERBERG:
365,LEE:
366,ZUCKERBERG:
367,GRASSLEY:
368,ZUCKERBERG:
369,SCHATZ:
370,ZUCKERBERG:
371,SCHATZ:
372,ZUCKERBERG:
373,SCHATZ:
374,ZUCKERBERG:
375,SCHATZ:
376,ZUCKERBERG:
377,SCHATZ:
378,ZUCKERBERG:
379,SCHATZ:
380,ZUCKERBERG:
381,SCHATZ:
382,ZUCKERBERG:
383,SCHATZ:
384,ZUCKERBERG:
385,SCHATZ:
386,ZUCKERBERG:
387,SCHATZ:
